"","Name","Sex","Event","Equipment","Age","AgeClass","Division","BodyweightKg","WeightClassKg","Squat1Kg","Squat2Kg","Squat3Kg","Squat4Kg","Best3SquatKg","Bench1Kg","Bench2Kg","Bench3Kg","Bench4Kg","Best3BenchKg","Deadlift1Kg","Deadlift2Kg","Deadlift3Kg","Deadlift4Kg","Best3DeadliftKg","TotalKg","Place"
"207","Stacey Faulkner","F","SBD","Wraps",24,"24-34","F-OR",59.9,"60",110,-117.5,117.5,NA,117.5,45,-50,50,NA,50,115,122.5,-130,NA,122.5,290,"10"
"208","Steph Bourke","F","SBD","Wraps",27,"24-34","F-OR",67.2,"67.5",130,140,145,NA,145,55,-60,-62.5,NA,55,-150,155,-162.5,NA,155,355,"6"
"209","Susan Edwards","F","SBD","Wraps",48,"45-49","F-OR",98,"90+",135,150,-157.5,NA,150,65,72.5,77.5,NA,77.5,127.5,140,150,NA,150,377.5,"8"
"210","Sussy Kollen","F","SBD","Wraps",44,"40-44","F-OR",55.9,"56",115,-125,-125,NA,115,-70,70,-75,NA,70,125,132.5,140,NA,140,325,"8"
"211","Suzie Maude","F","SBD","Wraps",39,"35-39","F-OR",88.8,"90",165,171,175,180,175,57.5,60,-65,NA,60,156,162.5,-172.5,NA,162.5,397.5,"4"
"212","Tala Stevens","F","SBD","Wraps",34,"24-34","F-OR",54.9,"56",92.5,102.5,-111,NA,102.5,50,55.5,-57.5,NA,55.5,100,112.5,120,NA,120,277.5,"12"
"213","Valerie Distasi","F","SBD","Wraps",38,"35-39","F-OR",64.6,"67.5",137.5,145,-152.5,NA,145,60,-65,-65,NA,60,135,145,-150,NA,145,350,"7"
"214","Venecia Bachee","F","SBD","Wraps",29,"24-34","F-OR",55,"56",105,110,-115,NA,110,57.5,-62.5,-62.5,NA,57.5,135,152.5,160,NA,160,327.5,"7"
"215","Vicki Jewson","F","SBD","Wraps",43,"40-44","F-OR",59.6,"60",125,135,140.5,NA,140.5,65,70,-72.5,NA,70,145,155,172.5,NA,172.5,382.5,"3"
"216","Victoria Hoskin","F","SBD","Wraps",35,"35-39","F-OR",73.8,"75",100,110,-115,NA,110,55,-60,-60,NA,55,120,130,-135,NA,130,295,"8"
"217","Winona Tabe","F","SBD","Wraps",17,"16-17","F-OR",55.7,"56",102.5,110,-115,NA,110,57.5,62.5,-65,NA,62.5,105,115,120,NA,120,292.5,"10"
"218","Aaron Chamberlain","M","SBD","Wraps",19,"18-19","M-OR",89.9,"90",175,187.5,200,NA,200,110,117.5,-122.5,NA,117.5,200,210,217.5,NA,217.5,535,"14"
"219","Aaron Simm","M","SBD","Wraps",19,"18-19","M-OR",73.1,"75",210,-220,-220,NA,210,-120,-120,120,NA,120,-250,-250,250,NA,250,580,"5"
