"","Name","Sex","Event","Equipment","Age","AgeClass","Division","BodyweightKg","WeightClassKg","Squat1Kg","Squat2Kg","Squat3Kg","Squat4Kg","Best3SquatKg","Bench1Kg","Bench2Kg","Bench3Kg","Bench4Kg","Best3BenchKg","Deadlift1Kg","Deadlift2Kg","Deadlift3Kg","Deadlift4Kg","Best3DeadliftKg","TotalKg","Place"
"525","Trent Nguyen","M","SBD","Wraps",35,"35-39","M-OR",74.9,"75",180,-190,-195,NA,180,115,125,127.5,-130.5,127.5,185,195,200,NA,200,507.5,"7"
"526","Ivan Ho","M","SBD","Wraps",25,"24-34","M-OR",71.8,"75",160,170,-177.5,NA,170,115,120,125,NA,125,160,170,177.5,NA,177.5,472.5,"8"
"527","Michael Hamilton","M","SBD","Wraps",19,"18-19","M-OR",69.9,"75",140,145,152.5,NA,152.5,87.5,95,-102.5,NA,95,165,172.5,182.5,NA,182.5,430,"9"
"528","Paul Thomas","M","SBD","Wraps",43,"40-44","M-OR",71.9,"75",135,155,160,NA,160,82.5,87.5,90,NA,90,160,170,180,NA,180,430,"10"
"529","Daniel DiStefano","M","SBD","Wraps",19,"18-19","M-OR",70.7,"75",120,-130,-130,NA,120,-90,95,100,NA,100,150,162.5,167.5,NA,167.5,387.5,"11"
"530","James McNaught","M","SBD","Wraps",38,"35-39","M-OR",82.2,"82.5",-250,250,-262.5,NA,250,180,185,-190,NA,185,270,280,-285,NA,280,715,"1"
"531","Martin Nguyen #1","M","SBD","Wraps",20,"20-23","M-OR",81.9,"82.5",245,-255,-255,NA,245,155,-160,160,NA,160,260,282.5,-295,NA,282.5,687.5,"2"
"532","Greg Fraser","M","SBD","Wraps",30,"24-34","M-OR",82.4,"82.5",230,250,260.5,NA,260.5,130,140,145,NA,145,250,270,-285,NA,270,675.5,"3"
"533","Ben Bouchereau","M","SBD","Wraps",27,"24-34","M-OR",79.2,"82.5",235,245,255,NA,255,140,150,157.5,NA,157.5,230,237.5,-242.5,NA,237.5,650,"4"
"534","Ben Cove","M","SBD","Wraps",30,"24-34","M-OR",80.9,"82.5",190,200,210,NA,210,112.5,120,127.5,NA,127.5,240,250,-257.5,NA,250,587.5,"5"
"535","Dan Rucci","M","SBD","Wraps",34,"24-34","M-OR",82.5,"82.5",215,220,225,NA,225,125,130,-135,NA,130,205,215,220,NA,220,575,"6"
"536","Eddy Dargham","M","SBD","Wraps",33,"24-34","M-OR",82.5,"82.5",-190,-190,190,NA,190,105,112.5,-117.5,NA,112.5,240,255,265,NA,265,567.5,"7"
"537","Bill Harnett","M","SBD","Wraps",41,"40-44","M-OR",80.2,"82.5",170,190,-200,NA,190,115,-125,125,NA,125,200,220,231,240,231,546,"8"
"538","Liam Thomas","M","SBD","Wraps",24,"24-34","M-OR",80.6,"82.5",170,180,190,NA,190,110,115,120,NA,120,210,220,230,NA,230,540,"9"
"539","Chris Davey #2","M","SBD","Wraps",30,"24-34","M-OR",79.8,"82.5",150,185,200,NA,200,90,95,-100,NA,95,215,230,240,NA,240,535,"10"
"540","Sam Nayef","M","SBD","Wraps",28,"24-34","M-OR",82,"82.5",-185,185,200,NA,200,105,110,-115,NA,110,200,-220,220,NA,220,530,"11"
"541","Daniel Inderwisch","M","SBD","Wraps",38,"35-39","M-OR",78,"82.5",-175,175,-185,NA,175,-140,140,150,NA,150,200,-210,-210,NA,200,525,"12"
"542","Daniel Menz","M","SBD","Wraps",26,"24-34","M-OR",81,"82.5",180,-192.5,192.5,NA,192.5,105,110,115,NA,115,190,202.5,-210,NA,202.5,510,"13"
"543","Jonathan Chu","M","SBD","Wraps",22,"20-23","M-OR",80.6,"82.5",170,185,-200,NA,185,95,105,-110,NA,105,180,192.5,200,NA,200,490,"14"
"544","Andrew Johnson","M","SBD","Wraps",38,"35-39","M-OR",82.5,"82.5",150,160,175,NA,175,80,87.5,90,NA,90,202.5,212.5,220,NA,220,485,"15"
"545","Daniel Patience","M","SBD","Wraps",19,"18-19","M-OR",81.5,"82.5",140,155,160,NA,160,80,102.5,105,NA,105,170,190,-200,NA,190,455,"16"
"546","Andrew Nguyen","M","SBD","Wraps",28,"24-34","M-OR",81.3,"82.5",75,NA,NA,NA,75,145,-155,-155,NA,145,220,230,-240,NA,230,450,"17"
"547","Rowan Pratt","M","SBD","Wraps",25,"24-34","M-OR",81.8,"82.5",100,117.5,125,NA,125,-87.5,97.5,-102.5,NA,97.5,177.5,192.5,200,NA,200,422.5,"18"
"548","David Madeley","M","SBD","Wraps",52,"50-54","M-OR",81.5,"82.5",115,132.5,140,NA,140,82.5,90,97.5,105,97.5,160,172.5,177.5,NA,177.5,415,"19"
"549","Adrian Zwaan","M","SBD","Wraps",75,"75-79","M-OR",81.7,"82.5",85,90,95,NA,95,70,75,77.5,NA,77.5,140,150,-160,NA,150,322.5,"20"
"550","Ariel Dencio","M","SBD","Wraps",24,"24-34","M-OR",89.8,"90",265,-286,-286,NA,265,182.5,192.5,-200,NA,192.5,280,-295,-295,NA,280,737.5,"1"
"551","Max Markopoulos","M","SBD","Wraps",21,"20-23","M-OR",89.3,"90",250,265,270,NA,270,155,165,170,NA,170,240,252.5,260,NA,260,700,"2"
"552","Albert Ozdil","M","SBD","Wraps",16,"16-17","M-OR",88.5,"90",240.5,260,-265,NA,260,140.5,147.5,150,NA,150,242.5,260.5,265,-272.5,265,675,"3"
"553","Declan Bradbury","M","SBD","Wraps",21,"20-23","M-OR",88.6,"90",230,240,250,NA,250,135,142.5,150,NA,150,255,265,-277.5,NA,265,665,"4"
"554","Nat Hodges","M","SBD","Wraps",23,"20-23","M-OR",89.2,"90",245,255,260,NA,260,130,135,140,NA,140,240,252.5,-257.5,NA,252.5,652.5,"5"
"555","Adam Lam","M","SBD","Wraps",31,"24-34","M-OR",89.6,"90",220,240,-260,NA,240,130,140,-150,NA,140,240,260,-272.5,NA,260,640,"6"
"556","Erros Chiodo","M","SBD","Wraps",25,"24-34","M-OR",89.6,"90",200,210,-220,NA,210,120,130,-135,NA,130,260,280,-290,NA,280,620,"7"
"557","Conor Zykowski","M","SBD","Wraps",17,"16-17","M-OR",89.6,"90",230,240,-250,NA,240,115,120,-125,NA,120,230,240,245,NA,245,605,"8"
"558","Dylan Hart","M","SBD","Wraps",23,"20-23","M-OR",87.6,"90",200,210,-220,NA,210,120,-130,-130,NA,120,250,260,-270,NA,260,590,"9"
"559","Jo Ravalo","M","SBD","Wraps",44,"40-44","M-OR",89.1,"90",190,-200,200,NA,200,150,-157.5,-157.5,NA,150,195,205,215,NA,215,565,"10"
"560","Lee Gamble","M","SBD","Wraps",34,"24-34","M-OR",89.9,"90",190,200,210,NA,210,105,110,112.5,NA,112.5,220,230,240,NA,240,562.5,"11"
"561","Paul Rucci","M","SBD","Wraps",34,"24-34","M-OR",89.7,"90",-200,205,210,NA,210,120,125,-130,NA,125,190,205,210,NA,210,545,"12"
"562","Luke Woolnough","M","SBD","Wraps",24,"24-34","M-OR",88.6,"90",185,200,-205,NA,200,105,112.5,120,NA,120,195,210,220,NA,220,540,"13"
"563","Gareth Walsh","M","SBD","Wraps",29,"24-34","M-OR",89.9,"90",170,180,-190,NA,180,90,95,100,NA,100,210,220,227.5,NA,227.5,507.5,"14"
"564","Tim Wise","M","SBD","Wraps",29,"24-34","M-OR",88.9,"90",160,170,-180,NA,170,105,-112.5,112.5,NA,112.5,210,220,-230,NA,220,502.5,"15"
"565","Kristos Papanotis","M","SBD","Wraps",18,"18-19","M-OR",66.5,"67.5",205,-225,-225,NA,205,110,115,117.5,NA,117.5,-220,-230,-230,NA,NA,NA,"DQ"
"566","Alan Kissick","M","SBD","Wraps",35,"35-39","M-OR",118.3,"125",-170,175,-185,NA,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DQ"
"567","Nathan Jones","M","SBD","Wraps",35,"35-39","M-OR",98.4,"100",283,-300,300,NA,300,150,160,165,NA,165,270,285,295,NA,295,760,"1"
"568","Matthew Middleton","M","SBD","Wraps",24,"24-34","M-OR",94.6,"100",270,285,-300,NA,285,170,185,195,NA,195,250,265,272.5,NA,272.5,752.5,"2"
"569","Scott Wasson","M","SBD","Wraps",25,"24-34","M-OR",95.3,"100",250,265,275,NA,275,115,125,135,NA,135,290,307.5,318,NA,318,728,"3"
"570","Gus Cooke","M","SBD","Wraps",23,"20-23","M-OR",99.7,"100",240,252.5,260,NA,260,165,175,182.5,NA,182.5,250,260,-277.5,NA,260,702.5,"4"
"571","Thomas Lilley","M","SBD","Wraps",24,"24-34","M-OR",98.1,"100",225,237.5,250,NA,250,-150,157.5,-170,NA,157.5,255,267.5,-280,NA,267.5,675,"5"
"572","Nick Haralambopoulos","M","SBD","Wraps",21,"20-23","M-OR",98,"100",210,220,230,NA,230,115,120,125,NA,125,245,260,267.5,NA,267.5,622.5,"6"
"573","Josiah Malouf","M","SBD","Wraps",26,"24-34","M-OR",96.1,"100",205,217.5,232.5,NA,232.5,132.5,137.5,145,NA,145,217.5,230,240,NA,240,617.5,"7"
"574","Darren Hancey","M","SBD","Wraps",26,"24-34","M-OR",98.1,"100",215,225,230,NA,230,130,135,-140,NA,135,240,250,-255,NA,250,615,"8"
"575","John Nichols","M","SBD","Wraps",27,"24-34","M-OR",96,"100",220,-235,-245,NA,220,135,140,NA,NA,140,230,240,NA,NA,240,600,"9"
"576","Alen Pezerovic","M","SBD","Wraps",27,"24-34","M-OR",98.1,"100",210,220,225,NA,225,140,145,-150,NA,145,220,230,-240,NA,230,600,"10"
"577","Stelian Tchapkanski","M","SBD","Wraps",27,"24-34","M-OR",98.5,"100",200,210,-215,NA,210,155,160,165,NA,165,210,220,225,NA,225,600,"11"
"578","Jake Clinch","M","SBD","Wraps",22,"20-23","M-OR",99,"100",167.5,177.5,185,NA,185,150,155,-160,NA,155,230,240,245,NA,245,585,"12"
"579","Matthew Waldron-Moir","M","SBD","Wraps",43,"40-44","M-OR",93.4,"100",150,170,180,NA,180,110,115,122.5,NA,122.5,260,272.5,280,285,280,582.5,"13"
"580","Josh Rayson","M","SBD","Wraps",17,"16-17","M-OR",98,"100",190,-205,205,NA,205,120,130,-135.5,NA,130,220,230,-235,NA,230,565,"14"
"581","Ethan Perera","M","SBD","Wraps",17,"16-17","M-OR",96.8,"100",120,130,-140,NA,130,70,80,-85,NA,80,150,157.5,165,NA,165,375,"15"
"582","Dan Green","M","SBD","Wraps",30,"24-34","M-OR",109.6,"110",340,367.5,382.5,-392.5,382.5,210,230,235,NA,235,345,367.5,-382.5,NA,367.5,985,"1"
"583","Ricky Goodyear","M","SBD","Wraps",38,"35-39","M-OR",107.3,"110",320,335,345,NA,345,180,195,200,NA,200,300,315,325,NA,325,870,"2"
"584","Jackson Murrie","M","SBD","Wraps",19,"18-19","M-OR",108.5,"110",315,330,340,NA,340,177.5,185,190,NA,190,275,295,-300,NA,295,825,"3"
"585","Firas El Achkar","M","SBD","Wraps",20,"20-23","M-OR",109,"110",290,305,310,NA,310,150,155,-160,NA,155,310,-362.5,-362.5,NA,310,775,"4"
"586","Jeremy Buchanek","M","SBD","Wraps",19,"18-19","M-OR",107.5,"110",270,290,300,NA,300,140,150,160,NA,160,280,300,-310,NA,300,760,"5"
"587","Jack Hobson","M","SBD","Wraps",19,"18-19","M-OR",107.6,"110",-220,227.5,-235,NA,227.5,-160,180,185,NA,185,240,255,260,NA,260,672.5,"6"
"588","Hamish Young","M","SBD","Wraps",30,"24-34","M-OR",106.3,"110",220,245,250,NA,250,130,145,-155,NA,145,220,245,-255,NA,245,640,"7"
"589","Kris Baldry","M","SBD","Wraps",31,"24-34","M-OR",101.2,"110",195,205,210,NA,210,105,-110,110,NA,110,205,215,225,NA,225,545,"8"
"590","Ross Katsambis","M","SBD","Wraps",27,"24-34","M-OR",101.6,"110",190,200,210,NA,210,110,115,-120,NA,115,200,210,220,NA,220,545,"9"
"591","Adam Kemp","M","SBD","Wraps",33,"24-34","M-OR",110,"110",170,185,200,NA,200,110,120,125,NA,125,190,205,220,NA,220,545,"10"
"592","Duke Catherine","M","SBD","Wraps",21,"20-23","M-OR",109.4,"110",-135,145,155,NA,155,90,100,107.5,NA,107.5,140,160,180,NA,180,442.5,"11"
"593","Zoran Jankovski","M","SBD","Wraps",23,"20-23","M-OR",113.5,"125",240,260,-270,NA,260,150,155,160,NA,160,270,285,-300,NA,285,705,"1"
"594","Nick Rankin","M","SBD","Wraps",27,"24-34","M-OR",113,"125",235,250,260,NA,260,145,155,-162.5,NA,155,260,275,287.5,NA,287.5,702.5,"2"
"595","Daniel America","M","SBD","Wraps",29,"24-34","M-OR",120,"125",-240,265,-272.5,NA,265,150,155,160,NA,160,250,265,275,NA,275,700,"3"
"596","Jason Gillespie","M","SBD","Wraps",40,"40-44","M-OR",123.1,"125",217.5,235,247.5,NA,247.5,162.5,175,182.5,NA,182.5,240,257.5,265,NA,265,695,"4"
"597","Steve Psaltis","M","SBD","Wraps",28,"24-34","M-OR",123.5,"125",230,242.5,-247.5,NA,242.5,100,107.5,115,NA,115,265,277.5,-287.5,NA,277.5,635,"5"
"598","Chris Isaac","M","SBD","Wraps",31,"24-34","M-OR",124.8,"125",210,-225,225,NA,225,147.5,155,-165,NA,155,225,240,250,NA,250,630,"6"
"599","Joseph Zollo","M","SBD","Wraps",55,"55-59","M-OR",121.2,"125",-210,220,240,NA,240,120,125,-130,NA,125,220,240,-250,NA,240,605,"7"
"600","Michael Read","M","SBD","Wraps",30,"24-34","M-OR",122.3,"125",200,210,-220,NA,210,132.5,-137.5,-137.5,NA,132.5,212.5,220,225,NA,225,567.5,"8"
"601","James Thomson","M","SBD","Wraps",64,"60-64","M-OR",118,"125",90,-110,120,NA,120,95,100,-102.5,NA,100,160,180,190,-200,190,410,"9"
"602","Odell Manuel","M","SBD","Wraps",35,"35-39","M-OR",137.1,"140",350,380,390,NA,390,220,230,-237.5,NA,230,370,385,400,NA,400,1020,"1"
"603","Spiros Markopoulos","M","SBD","Wraps",48,"45-49","M-OR",132.4,"140",250,267.5,275,NA,275,155,165,175,NA,175,240,250,260,NA,260,710,"2"
"604","Stephen Allison","M","SBD","Wraps",24,"24-34","M-OR",135.4,"140",190,210,-220,NA,210,110,120,130,NA,130,200,215,230,NA,230,570,"3"
"605","Jack Pollard","M","SBD","Wraps",22,"20-23","M-OR",149.7,"140+",285,300,310,NA,310,190,-200,200,NA,200,285,300,310,NA,310,820,"1"
"606","Zachary Turner","M","SBD","Wraps",19,"18-19","M-OR",140.2,"140+",-300,300,320,NA,320,180,195,202.5,NA,202.5,250,265,277.5,NA,277.5,800,"2"
"607","Luke Poli","M","SBD","Wraps",35,"35-39","M-OR",147.5,"140+",260,285,305,NA,305,185,195,205,NA,205,250,275,290,NA,290,800,"3"
"608","Matthew Aichholzer","M","SBD","Wraps",40,"40-44","M-OR",144.8,"140+",210,225,232.5,NA,232.5,170,-182.5,182.5,NA,182.5,220,232.5,-240,NA,232.5,647.5,"4"
"609","Jacob Anderson","M","SBD","Wraps",27,"24-34","M-OR",146.1,"140+",205,215,227.5,NA,227.5,105,-115,117.5,NA,117.5,220,230,240,NA,240,585,"5"
"610","Ace Kirkwood","M","SBD","Wraps",35,"35-39","M-OR",74.5,"75",220,-235,235,NA,235,130,137.5,-142.5,NA,137.5,225,240,-245,NA,240,612.5,"1"
"611","Andrew de Lepervanche","M","SBD","Wraps",44,"40-44","M-OR",74.6,"75",140,152.5,157.5,NA,157.5,95,100,102.5,NA,102.5,155,170,180,NA,180,440,"2"
"612","Billa Hamilton","F","SBD","Wraps",31,"24-34","F-OR",67.05,"67.5",165,175,-180,NA,175,95,100,-102.5,NA,100,165,175,185,NA,185,460,"1"
"613","Fiona Kelly","F","SBD","Wraps",56,"55-59","F-OR",90.55,"110",75,80,85,NA,85,47.5,50,52.5,NA,52.5,110,115,120,NA,120,257.5,"1"
"614","James Thomas","M","SBD","Wraps",21,"20-23","M-OR",107.95,"110",195,207.5,215,NA,215,127.5,137.5,-142.5,NA,137.5,240,255,262.5,NA,262.5,615,"2"
"615","Luke Billiau","M","SBD","Wraps",30,"24-34","M-OR",130.4,"140",310,330,342.5,NA,342.5,165,175,185,NA,185,290,310,322.5,NA,322.5,850,"1"
"616","Michael Chambers","M","SBD","Wraps",22,"20-23","M-OR",81.3,"82.5",200,210,-215,NA,210,130,135,-137.5,NA,135,230,240,250,NA,250,595,"1"
"617","Rick Markham","M","SBD","Wraps",34,"24-34","M-OR",124.4,"125",285,295,305,NA,305,165,177.5,180,NA,180,-310,320,-330,NA,320,805,"1"
"618","Rob Costello","M","SBD","Wraps",44,"40-44","M-OR",94.6,"100",-175,-195,-195,NA,NA,105,115,-130,NA,115,185,205,215,NA,215,NA,"DQ"
"619","Sonny Tavui","M","SBD","Wraps",29,"24-34","M-OR",107.55,"110",210,-230,230,NA,230,145,155,165,NA,165,240,252.5,260,NA,260,655,"1"
"620","Tamika Norris","F","SBD","Wraps",22,"20-23","F-OR",82.05,"82.5",165,175,-180,NA,175,75,82.5,85,NA,85,165,175,180,NA,180,440,"1"
"621","Yvonne Wagstaff","F","SBD","Wraps",46,"45-49","F-OR",50.5,"52",50,55,60,NA,60,30,35,40,NA,40,90,97.5,102.5,NA,102.5,202.5,"1"
"622","Sharnee Griffiths","F","SBD","Wraps",20,"20-23","F-OR",54.6,"56",-65,75,82.5,NA,82.5,37.5,45,50,NA,50,85,95,105,NA,105,237.5,"1"
"623","Sharon Wilkins","F","SBD","Wraps",37,"35-39","F-OR",54.1,"56",50,55,65,NA,65,30,35,-40,NA,35,95,112.5,120,NA,120,220,"2"
"624","Nina Markopoulos","F","SBD","Wraps",48,"45-49","F-OR",61,"67.5",-110,110,115,NA,115,60,65,70,NA,70,100,120,130,NA,130,315,"1"
"625","Ariel Symon","F","SBD","Wraps",20,"20-23","F-OR",63.6,"67.5",-80,90,-100,NA,90,40,47.5,-50,NA,47.5,85,95,100,NA,100,237.5,"2"
"626","Steph Finnin","F","SBD","Wraps",22,"20-23","F-OR",66,"67.5",55,65,75,NA,75,30,35,37.5,NA,37.5,85,95,100,NA,100,212.5,"3"
"627","Shandelle Ross","F","SBD","Wraps",40,"40-44","F-OR",73,"75",-60,60,75,NA,75,45,-55,-60,NA,45,100,110,120,NA,120,240,"1"
"628","Aris Juico","M","SBD","Wraps",24,"24-34","M-OR",66.9,"67.5",-155,155,165,NA,165,107.5,112.5,-115,NA,112.5,185,195,-200,NA,195,472.5,"1"
"629","Fiona Morris","M","B","Raw",25.5,"24-34","M-OR",63.4,"67.5",NA,NA,NA,NA,NA,60,62.5,67.5,NA,67.5,NA,NA,NA,NA,NA,67.5,"1"
"630","Allen Ozdil","M","SBD","Wraps",19,"18-19","M-OR",73.9,"75",-180,-200,-200,NA,NA,100,-107.5,112.5,NA,112.5,182.5,195,207.5,NA,207.5,NA,"DQ"
"631","Albert Ozdil","M","SBD","Wraps",16,"16-17","M-OR",81.5,"82.5",185,200,212.5,NA,212.5,117.5,125,132.5,NA,132.5,215,230,-237.5,NA,230,575,"1"
"632","Eddie Dargham","M","SBD","Wraps",33,"24-34","M-OR",82.5,"82.5",180,-190,190,NA,190,102.5,107.5,110,NA,110,-230,230,245,NA,245,545,"2"
"633","Sam Nayef","M","SBD","Wraps",28,"24-34","M-OR",81.6,"82.5",-170,180,185,NA,185,105,110,-115,NA,110,200,210,-215,NA,210,505,"3"
"634","Andrew Johnson","M","SBD","Wraps",38,"35-39","M-OR",77.4,"82.5",120,140,155,NA,155,75,85,-90,NA,85,190,205,-215,NA,205,445,"4"
"635","Daniel Patience","M","SBD","Wraps",18,"18-19","M-OR",80.6,"82.5",100,120,150,NA,150,70,90,-100,NA,90,160,170,-180,NA,170,410,"5"
"636","Dylan Hart","M","SBD","Wraps",23,"20-23","M-OR",89.2,"90",180,190,195,NA,195,125,-130,-130,NA,125,240,250,-260,NA,250,570,"1"
"637","Rowan Pratt","M","SBD","Wraps",24,"24-34","M-OR",86.8,"90",85,105,110,NA,110,75,85,95,NA,95,155,182.5,-187.5,NA,182.5,387.5,"2"
"638","Jake Clinch","M","SBD","Wraps",22,"20-23","M-OR",99.6,"100",150,160,170,NA,170,142.5,147.5,150,NA,150,200,210,225,NA,225,545,"1"
"639","Fernando Serra","M","SBD","Wraps",26,"24-34","M-OR",98.5,"100",105,115,125,NA,125,-50,57.5,62.5,NA,62.5,125,135,145,NA,145,332.5,"2"
"640","Brent Cosnett","M","SBD","Wraps",24,"24-34","M-OR",97.1,"100",70,NA,NA,NA,70,65,NA,NA,NA,65,65,NA,NA,NA,65,200,"3"
"641","Mike Read","M","SBD","Wraps",NA,"","M-OR",120.9,"125",190,-200,-205,NA,190,125,132.5,-137.5,NA,132.5,200,207.5,215,NA,215,537.5,"1"
"642","Mike V","M","SBD","Wraps",NA,"","M-OR",132.5,"140",100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DQ"
"643","Matthew Stockdale","M","SBD","Wraps",23,"20-23","M-OR",146.1,"140+",110,130,150,NA,150,65,75,85,NA,85,205,-235,-240,NA,205,440,"1"
"644","Darlene Williams","F","SBD","Wraps",42,"40-44","F-OR",88.1,"90",107.5,-115,-117.5,NA,107.5,47.5,52.5,55,NA,55,120,130,140,NA,140,302.5,"6"
"645","Abbie Ohl","F","SBD","Wraps",24,"24-34","F-OR",67.5,"67.5",135,142.5,147.5,NA,147.5,60,-65,-65,NA,60,142.5,-150,150,NA,150,357.5,"5"
"646","Shea Baker","F","SBD","Wraps",28,"24-34","F-OR",59.5,"60",130,140,-145,NA,140,80,87.5,-90,NA,87.5,140,150,160,NA,160,387.5,"2"
"647","Rachael Savage","F","SBD","Wraps",26,"24-34","F-OR",52,"52",120,130,140,NA,140,55,60,65,NA,65,150,160,-165,NA,160,365,"1"
"648","Brooke Kowalczyk","F","SBD","Wraps",36,"35-39","F-OR",77.9,"82.5",165,175,180,NA,180,-87.5,92.5,-95,NA,92.5,160,170,-180,NA,170,442.5,"3"
"649","Tamika Norris","F","SBD","Wraps",21,"20-23","F-OR",84.5,"90",165,175,180,NA,180,72.5,-82.5,82.5,NA,82.5,165,175,-182.5,NA,175,437.5,"4"
"650","Paul James","M","SBD","Wraps",44,"40-44","M-OR",88.2,"90",160,170,180,NA,180,80,90,100,NA,100,160,180,200,NA,200,480,"5"
"651","Cyll Duncan","M","SBD","Wraps",41,"40-44","M-OR",89,"90",140,150,160,NA,160,90,97.5,102.5,NA,102.5,180,195,202.5,NA,202.5,465,"6"
"652","Michael Buda","M","SBD","Wraps",36,"35-39","M-OR",92.2,"100",130,140,150,NA,150,90,97.5,-102.5,NA,97.5,180,195,205,NA,205,452.5,"8"
"653","Michael Adams","M","SBD","Wraps",25,"24-34","M-OR",81.2,"82.5",190,210,220,NA,220,107.5,115,-120,NA,115,210,225,232.5,NA,232.5,567.5,"3"
"654","Jonny Nelson","M","SBD","Wraps",35,"35-39","M-OR",103.2,"110",235,-250,-250,NA,235,122.5,130,-135,NA,130,235,255,-260,NA,255,620,"4"
"655","Ed Burton","M","SBD","Wraps",38,"35-39","M-OR",109.2,"110",285,305,315,NA,315,185,195,-202.5,NA,195,285,300,-310,NA,300,810,"1"
"656","Nick Weir","M","SBD","Wraps",23,"20-23","M-OR",106.6,"110",245,265,275,NA,275,165,175,180,NA,180,285,300,310,NA,310,765,"2"
"657","Peter Baskerville","M","SBD","Wraps",63,"60-64","M-OR",98.1,"100",165,180,-185,NA,180,80,85,90,NA,90,200,210,NA,NA,210,480,"7"
"658","Lorell Nelson","F","B","Raw",61,"60-64","F-OR",57,"60",NA,NA,NA,NA,NA,-50,55,57.5,-60,57.5,NA,NA,NA,NA,NA,57.5,"1"
"659","Thomas Daly","M","SBD","Wraps",15,"13-15","M-OR",92.94,"100",90,100,115,NA,115,50,60,-70,NA,60,130,140,150,NA,150,325,"2"
"660","Anthony Kellow","M","SBD","Wraps",23,"20-23","M-OR",85.78,"90",177.5,192.5,200,NA,200,117.5,127.5,132.5,NA,132.5,220,237.5,250,NA,250,582.5,"1"
"661","Tayler Smith","M","SBD","Wraps",22,"20-23","M-OR",98.68,"100",222.5,232.5,240,NA,240,132.5,140,145,NA,145,240,255,265,NA,265,650,"1"
"662","Dylan Grant","M","SBD","Wraps",22,"20-23","M-OR",87.84,"90",200,215,222.5,NA,222.5,110,117.5,122.5,NA,122.5,205,215,NA,NA,215,560,"2"
"663","Dylan Northcoott","M","SBD","Wraps",21,"20-23","M-OR",70.88,"75",185,195,200,NA,200,115,120,122.5,NA,122.5,185,202.5,NA,NA,202.5,525,"1"
"664","Anthony Edwardes","M","B","Raw",29,"24-34","M-OR",99.98,"100",NA,NA,NA,NA,NA,170,180,187.5,NA,187.5,NA,NA,NA,NA,NA,187.5,"1"
"665","Seline Magnussen","F","SBD","Wraps",17,"16-17","F-OR",56,"56",100,107.5,-112.5,NA,107.5,52.5,55,-57.5,NA,55,105,112.5,117.5,NA,117.5,280,"1"
"666","Naomi Van Burg","F","SBD","Wraps",29,"24-34","F-OR",59.7,"60",92.5,100,102.5,NA,102.5,50,-55,55,NA,55,112.5,115,117.5,NA,117.5,275,"1"
"667","Jiville Latu","F","SBD","Wraps",22,"20-23","F-OR",67.3,"67.5",135,145,-155,NA,145,62.5,70,75,NA,75,160,177.5,187.5,NA,187.5,407.5,"1"
"668","Pip Brown","F","SBD","Wraps",28,"24-34","F-OR",67.2,"67.5",145,152.5,160,NA,160,70,75,80,NA,80,140,155,165,NA,165,405,"2"
"669","Michelle Warren","F","SBD","Wraps",54,"50-54","F-OR",65,"67.5",120,-130,130,NA,130,62.5,67.5,70,NA,70,120,130,137.5,NA,137.5,337.5,"3"
"670","Victoria Hoskin","F","SBD","Wraps",35,"35-39","F-OR",74.6,"75",115,122.5,130,NA,130,60,-65,-65,NA,60,125,135,-142.5,NA,135,325,"1"
"671","Bev Gibson","F","SBD","Wraps",44,"40-44","F-OR",72.8,"75",-95,-100,100,NA,100,55,60,62.5,NA,62.5,125,130,-137.5,NA,130,292.5,"2"
"672","Andy Kaladelfos","F","SBD","Wraps",34,"24-34","F-OR",71.1,"75",80,87.5,95,NA,95,50,55,-60,NA,55,100,110,-120,NA,110,260,"3"
"673","Ellie Burscough","F","SBD","Wraps",29,"24-34","F-OR",81.2,"82.5",112.5,125,135,NA,135,65,70,-75,NA,70,125,135,145,NA,145,350,"1"
"674","Gabrielle Nicholas","F","SBD","Wraps",17,"16-17","F-OR",86.6,"90",70,75,80,NA,80,40,45,-47.5,NA,45,90,100,105,110,105,230,"1"
"675","Chris Hall","M","SBD","Wraps",30,"24-34","M-OR",59.4,"60",105,115,-125,NA,115,70,-80,-80,NA,70,130,145,170,NA,170,355,"1"
"676","Michael Watt","M","SBD","Wraps",33,"24-34","M-OR",67.3,"67.5",170,185,-192.5,NA,185,125,132.5,-137.5,NA,132.5,190,210,-222.5,NA,210,527.5,"1"
"677","Kobi Gumkowski","M","SBD","Wraps",14,"13-15","M-OR",73,"75",130,140,150,160,150,67.5,75,80,85,80,140,160,175,NA,175,405,"1"
"678","Brett Carruthers","M","SBD","Wraps",30,"24-34","M-OR",78.2,"82.5",195,210,-225,NA,210,110,120,127.5,NA,127.5,225,240,255,NA,255,592.5,"1"
"679","Jess Furner","M","SBD","Wraps",30,"24-34","M-OR",80.6,"82.5",180,192.5,-202.5,NA,192.5,87.5,95,-97.5,NA,95,175,190,-195,NA,190,477.5,"2"
"680","Allen Mao","M","SBD","Wraps",25,"24-34","M-OR",89.2,"90",185,200,210,NA,210,130,142.5,-150,NA,142.5,260,275,285,NA,285,637.5,"1"
"681","Liam Bradford","M","SBD","Wraps",22,"20-23","M-OR",89.4,"90",220,-237.5,-237.5,NA,220,-130,130,-140,NA,130,250,260,270,NA,270,620,"2"
